Date : 2025-04-05 17:12:42
Directory : c:\Users\Ivy\Downloads\Fultter\attempt1
Total : 94 files,  30229 codes, 2491 comments, 3129 blanks, all 35849 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| macos\Runner (Files)                                                                                  |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                     |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                               |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                  |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                   |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                               |         14 |        707 |         94 |        188 |        989 |
| windows (Files)                                                                                       |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                       |          4 |        156 |          9 |         29 |        194 |
| windows\runner                                                                                        |          9 |        462 |         85 |        139 |        686 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                              | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\Ivy\Downloads\Fultter\attempt1\README.md                                                     | Markdown        |         22 |          0 |         12 |         34 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\analysis_options.yaml                                         | YAML            |          3 |         22 |          4 |         29 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\google-services.json                              | JSON            |         29 |          0 |          0 |         29 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\debug\AndroidManifest.xml                     | XML             |          3 |          4 |          1 |          8 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\main\AndroidManifest.xml                      | XML             |         34 |         11 |          1 |         46 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\main\res\drawable-v21\launch_background.xml   | XML             |          4 |          7 |          2 |         13 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\main\res\drawable\launch_background.xml       | XML             |          4 |          7 |          2 |         13 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\main\res\values-night\styles.xml              | XML             |          9 |          9 |          1 |         19 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\main\res\values\styles.xml                    | XML             |          9 |          9 |          1 |         19 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\app\src\profile\AndroidManifest.xml                   | XML             |          3 |          4 |          1 |          8 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\gradle.properties                                     | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\android\gradle\wrapper\gradle-wrapper.properties              | Java Properties |          5 |          0 |          1 |          6 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\firebase.json                                                 | JSON            |         41 |          0 |          1 |         42 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\RunnerTests\RunnerTests.swift                             | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\AppDelegate.swift                                  | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML             |         36 |          1 |          1 |         38 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Base.lproj\Main.storyboard                         | XML             |         25 |          1 |          1 |         27 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\ios\Runner\Runner-Bridging-Header.h                           | C++             |          1 |          0 |          1 |          2 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\lib\firebase_options.dart                                     | Dart            |         70 |         12 |          7 |         89 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\assessment_generator.dart                      | Dart            |        706 |         60 |        105 |        871 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\dummy_data_generator.dart                      | Dart            |        235 |         34 |         34 |        303 |
| c:\Users\Ivy\Downloads\Fultter\attempt1\lib\generators\group_generator.dart                           | Dart            |        368 |         38 |         61 |        467 |
